record_id,run_id,case,solver,case_sha256,status,candidate,model_pass,kkt_pass,optimality_pass,cost_optimization_complete,objective,dual_value,relative_gap,independent_dual_pass,independent_dual_status,independent_dual_value,independent_dual_gap,elapsed_sec,total_method_elapsed_sec
bid_cap--highs,r5-market-03d6646f-dfec-4313-aa36-f54f73572534,bid_cap,highs,cab5fac023eeaea4998db0695f340033f6197a89b7ef3a11bbdaa06f601cff6b,solver_optimal,true,true,true,true,true,3800.0,3800.0,0.0,true,OPTIMAL,3800.0,0.0,4.70199990272522,8.624000072479248
bid_cap--clarabel,r5-market-6280e9b8-9d57-4a62-9e89-44bd28f72a7e,bid_cap,clarabel,cab5fac023eeaea4998db0695f340033f6197a89b7ef3a11bbdaa06f601cff6b,solver_optimal,true,true,true,true,true,3800.0000000000027,3799.9999999950496,1.303449512067201e-12,true,OPTIMAL,3800.0000000255363,6.719610131480481e-12,5.641999959945679,5.6570000648498535
capacity_infeasible--highs,r5-market-166ea1a6-85f1-4c17-b49c-86f76197928b,capacity_infeasible,highs,c4dcfadcb5cef69aa614de78f012f2724ad84e3f471ae21a046af7ecaa82a94f,solver_infeasible,false,false,false,false,false,NaN,NaN,NaN,false,not_attempted_without_primal,NaN,NaN,0.21599984169006348,0.21700000762939453
capacity_infeasible--clarabel,r5-market-a2ff021c-240f-4ca2-ab7f-51ed54ad72cd,capacity_infeasible,clarabel,c4dcfadcb5cef69aa614de78f012f2724ad84e3f471ae21a046af7ecaa82a94f,solver_infeasible,false,false,false,false,false,NaN,NaN,NaN,false,not_attempted_without_primal,NaN,NaN,0.006999969482421875,0.00800013542175293
hand_hour--highs,r5-market-eee930bd-2084-4495-81af-d037ee692e80,hand_hour,highs,955521c4ee8b3de52ec03bce12d5d6037e395d4e119296cd8277fec852bbd3a0,solver_optimal,true,true,true,true,true,-1280.0,-1280.0,0.0,true,OPTIMAL,-1280.0,0.0,0.003000020980834961,0.07000017166137695
hand_hour--clarabel,r5-market-233ebb7f-8df5-41f0-9d32-fdc42a0fdc35,hand_hour,clarabel,955521c4ee8b3de52ec03bce12d5d6037e395d4e119296cd8277fec852bbd3a0,solver_optimal,true,true,true,true,true,-1280.0000000021241,-1280.0000000345606,2.53409737637901e-11,true,OPTIMAL,-1279.9999999990262,2.4206414650467042e-12,0.004999876022338867,0.01100015640258789
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,hand_quarter,highs,9cd6b1600bbc9b75117dec81231bb7904df8feff72425b9e60c366f0506998ec,solver_optimal,true,true,true,true,true,-320.0,-320.0,0.0,true,OPTIMAL,-320.0,0.0,0.003000020980834961,0.006000041961669922
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,hand_quarter,clarabel,9cd6b1600bbc9b75117dec81231bb7904df8feff72425b9e60c366f0506998ec,solver_optimal,true,true,true,true,true,-320.00000000140363,-320.000000010604,2.875122362398664e-11,true,OPTIMAL,-320.00000000088744,1.612576738800474e-12,0.00599980354309082,0.009999990463256836
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,d535e3298c68c0af8735e313d3b885f55c2b6d3c9b368e2f7e604a8f4cf59144,solver_optimal,true,true,true,true,true,6850.0,6850.0,0.0,true,OPTIMAL,6850.0,0.0,0.06399989128112793,0.08699989318847656
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,no_ies,clarabel,d535e3298c68c0af8735e313d3b885f55c2b6d3c9b368e2f7e604a8f4cf59144,solver_optimal,true,true,true,true,true,6850.000000007756,6849.999999956291,7.513222874330864e-12,true,OPTIMAL,6850.000000826122,1.1946936520346828e-10,0.006999969482421875,0.012999773025512695
